ntrains,ntracks,nactions,npath_short,avgpath_short,npath_simple,avgpath_simple,ncm,steps,config,ptracks,stracks,runtime
2,10,62,4.0,4.0,12.0,5.666666666666667,1.5,4,1,0.5,1,0.32316017150878906
2,10,62,2.0,4.0,15.0,6.8,1.5,5,2,0.5,1,0.30896687507629395
2,10,62,2.0,5.0,14.0,7.857142857142857,1.5,5,1,0.5,1,0.31459808349609375
2,10,62,1.0,5.0,11.0,8.090909090909092,1.5,6,2,0.5,1,0.31545472145080566
3,10,93,7.0,4.0,17.0,5.176470588235294,1.5,4,1,0.5,1,0.5676987171173096
3,10,93,1.0,4.0,11.0,7.818181818181818,1.5,5,2,0.5,1,0.3909158706665039
3,10,93,5.0,5.0,18.0,6.888888888888889,1.5,5,1,0.5,1,0.5090522766113281
3,10,93,1.0,5.0,11.0,9.0,1.5,6,2,0.5,1,0.3878498077392578
4,10,124,3.0,4.0,17.0,6.9411764705882355,1.5,4,1,0.5,1,5.189981937408447
4,10,124,2.0,4.0,21.0,8.0,1.5,5,2,0.5,1,1.1650512218475342
4,10,124,8.0,7.0,24.0,8.333333333333334,1.5,6,2,0.5,1,0.9544541835784912
5,10,155,1.0,4.0,16.0,8.0,1.5,5,2,0.5,1,0.9754414558410645
